Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69744355,Rizzy,Medium,Male,Baby,Bicolor,German Shepherd
69744361,Tate,Small,Male,Young,Yellow,Pug
69744362,Bradie,Small,Female,Young,Black,Boston Terrier
69744370,Vicky,Small,Female,Young,Brown,Ibizan Hound
69744372,Bradie (TX),Small,Female,Young,Black,Boston Terrier
69744373,Poe,Large,Male,Baby,Apricot,Golden Retriever
69744375,Arthur,Small,Male,Adult,Yellow,Pug
69744378,Luna,Medium,Female,Adult,Red,Australian Cattle Dog
69744379,BLUE,Small,Male,Young,Yellow,Cavalier King Charles Spaniel
69744382,Phantom,Medium,Male,Young,Black,Parson Russell Terrier
69744385,Anubis,Medium,Male,Young,,Collie
69744391,Paizley,Medium,Female,Young,Black,Parson Russell Terrier
69744392,Zane,Small,Male,Young,Black,Pug
69744398,PEACHES (See also CREAM),Medium,Female,Adult,Tricolor,Bull Terrier
69744399,Jiffy,Large,Male,Young,Black,German Wirehaired Pointer
69744414,Leona,Small,Female,Adult,Yellow,Pug
69744422,Luffy ,Large,Male,Adult,,Labrador Retriever
69744425,Razor,Large,Male,Baby,Tricolor,Australian Shepherd
69744427,Max,Medium,Male,Baby,White,Border Collie
69744444,Misty,Small,Female,Young,Yellow,Pug
69744446,Lorenza ,Medium,Female,Young,Red,Collie
69744447,CAPTAIN,Medium,Male,Baby,Yellow,Labrador Retriever
69744448,SADIE,Small,Female,Adult,White,Australian Cattle Dog
69744450,Deacon,Medium,Male,Young,,Labrador Retriever
69744452,NEVADA,Medium,Female,Baby,,Labrador Retriever
69744458,Pauline,Small,Female,Young,Yellow,Pug
69744461,Dobby ,Large,Male,Young,Bicolor,German Shepherd
69744467,Sir Loin,Medium,Male,Baby,White,Bull Terrier
69744485,Dobby,Large,Male,Young,Bicolor,German Shepherd
69744491,Sergio,Large,Male,Adult,Black,Siberian Husky
69744493,Chloe,Medium,Female,Baby,White,Border Collie
69744501,Claudia,Small,Female,Adult,White,Toy Fox Terrier
69744511,Bishop,Large,Male,Adult,,Labrador Retriever
69744512,Deya,Medium,Female,Young,Bicolor,Belgian Sheepdog
69744520,Blitzen,Large,Male,Young,Black,Labrador Retriever
69744528,Maple,Small,Female,Adult,Brindle,Chihuahua
69744533,Pilot,Small,Male,Adult,,Chihuahua
69744534,Carni,Large,Male,Adult,Black,Labrador Retriever
69744535,Quincy,Medium,Male,Adult,Gray,Great Dane
69744537,MOUSE,Small,Female,Baby,Gray,Chihuahua
69744543,Archer,Large,Male,Adult,Gray,Siberian Husky
69744551,Turnip,Small,Male,Baby,,Chihuahua
69744552,Rutabaga,Small,Male,Baby,,Chihuahua
69744553,Jicama,Small,Male,Baby,,Chihuahua
69744554,Green Bean,Small,Male,Baby,,Chihuahua
69744555,Broccolini,Small,Male,Baby,,Chihuahua
69744556,Zelda,Large,Female,Adult,Black,German Shepherd
69744566,CHESTNUT,Large,Male,Adult,,German Shepherd
69744591,RED ROVER,Small,Male,Adult,,Bull Terrier
69744607,JAMES,Large,Male,Young,,Siberian Husky
69744609,BO,Large,Male,Young,,Siberian Husky
69744625,Muffin,Medium,Female,Baby,Brindle,Bull Terrier
69744631,Everly,Small,Female,Young,Yellow,Pug
69744632,Pickles,Medium,Female,Young,Apricot,Whippet
69744633,Reina,Medium,Female,Baby,White,Great Pyrenees
69744636,Nano,Medium,Male,Baby,Brown,Plott
69744637,Eden ,Medium,Female,Adult,Yellow,Labrador Retriever
69744638,Orson,Small,Male,Adult,Yellow,Pug
69744641,TRUE,Large,Female,Young,Gray,Bull Terrier
69744642,Willow,Medium,Female,Baby,White,Bull Terrier
69744644,Lucy Van Pelt,Medium,Female,Baby,Black,Border Collie
69744648,Macky,Medium,Female,Adult,Black,Siberian Husky
69744655,Kelsey,Medium,Female,Baby,White,Bull Terrier
69744656,Bonnie Conroe,Large,Female,Baby,Gray,Bull Terrier
69744658,Bella Boo NOT your typical GSD,Medium,Female,Adult,Brown,German Shepherd
69744659,Tequila Tiki Waller the fun time girl,Small,Female,Adult,Black,Dachshund
